HUC_12,pCanopy
010300010602,72.5257968773
010300010603,71.9971106889
010300010604,68.2501798993
010300010605,74.4368599445
010300010606,68.4030653011
010300010607,72.9962014667
010300010608,70.945548548
010300010609,69.5694850701
010300010610,71.0826526517
010300020101,73.6929319346
010300020102,78.6624198291
010300020103,76.7325400287
010300020104,77.7109280727
010300020105,75.0671888518
010300020106,71.1474102157
010300020201,81.209513816
010300020202,74.0557168396
010300020203,75.8461962064
010300020204,73.7643600181
010300020301,78.5898805948
010300020302,66.2881351918
010300020303,71.7312289258
010300020304,76.453144835
010300020401,74.8962445497
010300020402,74.317174803
010300020403,74.3269939613
010300020404,74.3018240175
010300020405,79.0373558569
010300020406,72.6890108899
010300020501,68.0381246965
010300020502,72.7120268729
010300020503,74.0097259445
010300020504,72.0451875282
010300020505,69.7396981397
010300020506,71.0563262039
010300030101,71.0046006044
010300030102,73.8280933333
010300030103,75.8120573464
010300030104,66.5230443882
010300030105,67.9334278678
010300030106,73.2382141655
010300030201,74.0612009
010300030202,69.5992087163
010300030203,71.5879455001
010300030301,68.8690582029
010300030302,72.1566141562
010300030303,73.7403993575
010300030304,67.8689562331
010300030401,76.8961060352
010300030402,74.0973597126
010300030501,80.5418111753
010300030502,68.8384994856
010300030503,71.0079501695
010300030601,72.4337537941
010300030602,70.3571924631
010300030701,71.889338717
010300030702,73.7934913875
010300030703,70.9615044942
010300030801,74.7512647746
010300030802,73.192827809
010300030803,70.8416397309
010300030804,68.9660880288
010300030901,74.1778862808
010300030902,73.6712251196
010300030903,74.4684959767
010300030904,74.1190783137
010300030905,73.0545091865
010300031001,69.6736968882
010300031002,71.823680986
010300031003,72.1928486644
010300031004,62.3266523541
010300031101,73.6456270024
010300031102,71.0514841296
010300031103,65.7825837464
010300031201,73.0464428714
010300031202,70.1670522552
010300031203,71.505433402
010300031204,69.8702818089
010300031205,71.6844447618
010300031206,65.3435060488
010300031301,62.1147421525
010300031302,61.6361296114
010300031401,71.756301432
010300031402,72.5785319081
010300031403,62.7317759079
010300031404,66.1950860907
010300031405,64.6003043545
010300031501,57.2901975016
010300031502,68.6924477998
010300031503,72.5375946469
010300031504,69.7980743078
010300031505,58.6398305735
010300031506,71.8930264183
010300031507,38.7271634465
010300031601,71.5910203964
010300031602,74.41312399
010300031603,74.2022122541
010300031604,74.6954536316
010300031605,73.1047292892
010300031606,74.4071533782
010300031701,65.6701154624
010300031702,63.8345646171
010300031801,65.6095231407
010300031802,56.236286717
010300031803,57.2143116161
010300031804,60.0892881495
010300031805,67.4070810757
010300031806,58.5353603225
010300031901,71.0501448509
010300031902,65.6863656195
010300031903,60.9459008655
010300031904,64.1648892401
010300032001,70.0074407708
010300032002,68.2722959609
010300032003,64.5413401272
010300032004,65.3442372651
010300032005,71.7401257636
010300032101,66.6061480088
010300032102,53.49712458
010300032103,69.907618118
010300032104,63.3468064439
010300032105,63.2333367843
010300032106,62.0604631795
010300032201,70.1695292228
010300032202,70.8048996458
010300032203,72.8903023928
010300032204,66.4851927284
010300032205,55.1662094659
010300032301,66.2749608783
010300032302,72.4385040335
010300032303,63.2424214052
010300032304,55.7047947738
010300032305,64.3570209256
010300032306,68.8285069009
010300032307,59.3580328488
010300032308,68.4621549283
010300032309,62.464706745
010300032401,62.6804262363
010300032402,69.2490777831
010300032403,66.675038471
010300032404,56.4930352063
010300032405,54.5250388294
010300032406,70.7168915413
010300032407,65.7834549118
010300032408,67.4497772392
010300032409,58.8231292167
010400010101,77.5403557613
010400010102,76.1692614852
010400010103,75.720201953
010400010104,76.8164086769
010400010105,79.9930328154
010400010106,74.8243000156
010400010107,72.0308636367
010400010108,73.4498893052
010400010109,76.0566991714
010400010110,76.6080858996
010400010201,73.4754555597
010400010202,75.9244472878
010400010203,75.5318092309
010400010301,70.5155384397
010400010302,76.8902414924
010400010303,72.3722894653
010400010304,68.5606896824
010400010305,72.0818657572
010400010306,73.4217871014
010400010401,74.7593856445
010400010402,72.471723786
010400010403,67.9510636468
010400010404,73.8586033951
010400010405,75.8261050514
010400010406,72.0973910337
010400010501,62.6420429217
010400010502,71.3656458376
010400010601,70.0520167567
010400010602,74.3026716157
010400010603,67.5470466984
010400010604,70.2930846999
010400010605,70.1919636998
010400010606,65.881192096
010400010607,65.781124543
010400020101,77.3904605413
010400020102,79.8094203051
010400020103,77.7272746393
010400020201,84.043487541
010400020202,76.0094351386
010400020203,71.9523065555
010400020204,62.6885523142
010400020205,77.1044573261
010400020206,79.8450559164
010400020207,66.5365423838
010400020301,72.003301612
010400020302,78.8438293643
010400020303,73.233333989
010400020304,71.8702724887
010400020305,70.2417513473
010400020401,73.3456503797
010400020402,77.9820606261
010400020403,75.4338393357
010400020404,67.580427268
010400020405,63.4477832633
010400020406,67.2543456328
010400020501,77.4577208855
010400020502,70.84364839
010400020503,71.1086737532
010400020504,67.8402303916
010400020505,70.7423314279
010400020601,70.4120367914
010400020602,61.8343665587
010400020603,73.0447538817
010400020604,69.8411675841
010400020605,60.4465336729
010400020606,63.1760312277
010400020701,71.7404041996
010400020702,69.8116850127
010400020703,65.4682487022
010400020704,59.5033353999
010400020801,68.6406951247
010400020802,62.7225781965
010400020803,46.5626534592
010400020901,69.8378953158
010400020902,66.3921006426
010400020903,64.4823403742
010400020904,62.5167109507
010400020905,67.7747337444
010400020906,65.1326456374
010400020907,60.9411178792
010400020908,57.8037468962
010400020909,68.3647106827
010400020910,56.8965222494
010400021001,59.8431408561
010400021002,53.4089058764
010400021003,67.1224233125
010400021004,65.3065550002
010400021005,54.3317848138
010400021006,65.0023689123
010400021007,51.2333339894
010500010101,72.3165543792
010500010102,76.2479240207
010500010207,74.4085283917
010500010301,72.3146763593
010500010302,74.4258993905
010500010303,76.1325795766
010500010304,76.8231226189
010500010305,79.696947518
010500010306,76.2485106255
010500010307,76.4405406047
010500010401,74.0484253039
010500010402,70.9406637544
010500010403,72.381123426
010500010404,70.3037367487
010500010501,76.2653939765
010500010502,73.4705846621
010500010503,72.4869858984
010500010504,70.9296411901
010500010505,73.2432390785
010500010506,74.302088423
010500010601,72.547952113
010500010602,75.4173906229
010500010603,72.2834010709
010500010604,75.246880061
010500010605,74.3986917496
010500010606,73.1173923105
010500010701,76.7256973062
010500010702,75.4855807127
010500010705,76.3435836783
010500010706,74.9813538226
010500010707,77.6023883663
010500010708,74.8800299117
010500010801,72.1462385526
010500010802,68.8300316729
010500010804,69.804835924
010500010806,68.857323057
010500010809,65.6197529544
010500010810,70.3747466662
010500020101,70.3462382277
010500020102,70.1736724802
010500020103,72.1256687819
010500020104,74.4834107687
010500020201,76.2275277071
010500020202,71.4059371015
010500020203,71.1260379166
010500020204,71.4847955139
010500020205,60.5767802186
010500020301,74.2676086124
010500020302,75.2154382904
010500020401,75.6596191981
010500020402,76.4249265714
010500020403,75.9950206413
010500020501,75.83925905
010500020502,73.9845136612
010500020503,74.0877084301
010500020601,67.040833292
010500020602,67.7678230878
010500020603,65.6764905917
010500020604,65.9082113586
010500020701,64.0222999229
010500020702,63.1943993945
010500020703,15.7730393177
010500020801,63.5082471731
010500020802,57.4526693091
010500020803,62.3651202163
010500020804,61.3919365499
010500020805,14.6957760814
010500020901,75.5685677541
010500020902,57.4830065507
010500020903,55.3764385172
010500020904,63.2472805637
010500020905,67.6414978436
010500020906,54.8078588782
010500020907,61.6846733668
010500020908,10.8787483703
010500021001,71.7095394605
010500021002,54.4180377227
010500021003,72.5928287611
010500021004,70.4551695145
010500021005,63.2821694139
010500021006,71.0591679821
010500021007,64.6461146115
010500021008,10.2163380282
010500021101,78.250226029
010500021102,71.1391350695
010500021103,71.1869052958
010500021104,0.0
010500021105,8.84507722008
010500021106,68.3965074745
010500021107,54.6842105263
010500021108,12.7130761994
010500021109,65.8371278459
010500021110,16.4543589744
010500021111,20.7767348307
010500021201,74.0697504392
010500021202,74.9964930226
010500021203,72.9591848887
010500021204,68.3722886293
010500021205,75.3808863626
010500021206,76.7597749289
010500021207,74.9819641275
010500021208,71.8426581862
010500021209,73.6182252215
010500021210,69.8394759321
010500021211,72.0757680121
010500021212,73.55622911
010500021213,75.611561847
010500021214,73.2542267141
010500021215,66.5197419381
010500021301,73.483742187
010500021302,61.5013138218
010500021303,70.3720942911
010500021304,68.4273098693
010500021401,74.899698486
010500021402,71.1080103919
010500021403,16.3671274962
010500021404,70.4329304149
010500021405,68.0244010266
010500021406,59.0436500872
010500021407,69.127825108
010500021408,67.1578059612
010500021409,70.780445473
010500021410,12.7780298121
010500021501,74.4886451613
010500021502,67.06093909
010500021503,66.5344141322
010500021504,69.5124991946
010500021505,63.7666211293
010500021506,72.2378874938
010500021507,65.9467214856
010500021508,65.9889182746
010500021509,7.50006578082
010500021601,67.1015791585
010500021602,65.3404703902
010500021701,66.0856242642
010500021702,64.3628114511
010500021703,9.31857451404
010500021801,67.0977623782
010500021802,66.3396952185
010500021803,67.2885509427
010500021901,67.5828205759
010500021902,65.1322454148
010500021903,74.6102908654
010500021904,71.2684458978
010500021905,66.3799405707
010500021906,47.6691980559
010500021907,63.5748785105
010500021908,60.6113128978
010500021909,15.2995964844
010500030101,71.7508474576
010500030102,71.5601907259
010500030103,67.4338760689
010500030104,65.3318383448
010500030105,68.9625857319
010500030106,62.8807451674
010500030107,57.9590317073
010500030201,69.2603195199
010500030202,65.4998690111
010500030203,66.5671141409
010500030204,73.1867256637
010500030205,61.1023051116
010500030206,16.984620887
010500030301,72.7887168523
010500030302,68.0846116062
010500030303,69.3954051467
010500030304,67.4171336448
010500030305,64.4557495282
010500030306,33.905465288
010500030307,15.9967023908
010500030401,73.8895204291
010500030402,63.7095557855
010500030403,70.395698778
010500030404,70.4724663607
010500030405,72.9382974821
010500030406,68.2493235857
010500030501,68.5985613393
010500030502,70.9720740182
010500030503,66.9497099785
010500030504,3.63302752294
010500030601,57.6119086517
010500030602,70.152430508
010500030603,62.4486753251
010500030604,56.0587518284
010500030605,30.8308943089
010500030606,5.62946428571
010500040203,67.3512687535
010500040204,70.5840373796
010500040401,67.1062115998
010500040402,71.1847366816
010500040403,75.4520158231
010500040404,70.8830064557
010500040501,71.4783186774
010500040502,62.2974660742
010500040601,74.18555739
010500040602,71.2664579888
010500040603,68.4957502821
010500040604,74.2784980889
010500040605,71.3310483991
010500040606,65.4379668197
010500040701,25.1333333333
010500040702,14.1357142857
010500040901,65.1556636186
010500040902,67.366737674
010500040903,47.5909090909
010500040904,12.3637583893
010600010101,75.3087340718
010600010102,69.4978642847
010600010103,69.1347116431
010600010104,68.3018197877
010600010105,63.0726355629
010600010106,67.8356848912
010600010107,70.3471450294
010600010108,71.0129139312
010600010109,72.2887616277
010600010110,67.3710887815
010600010201,60.6954212962
010600010202,59.390961276
010600010203,66.315283567
010600010204,63.6089113003
010600010205,59.4453366601
010600010206,57.8745988645
010600010301,62.2299583026
010600010302,55.450885097
010600010303,52.4275014608
010600010304,53.2185589998
010600010305,62.5658779535
010600010306,56.0641895189
010600010401,52.0315347676
010600010402,27.0516994361
010600010501,39.9336517267
010600010502,44.5613669954
010600010503,54.4874918846
010600010504,44.3852598997
010600010505,49.2779684193
010600010506,21.802359882
010600010507,8.92165492958
010600010601,64.3928772907
010600010602,55.2537533183
010600010603,64.6395134313
010600010606,57.2310661665
010600010607,14.1838388262
010600020101,81.8172008956
010600020102,84.1264000706
010600020103,82.0573209202
010600020104,80.0653462398
010600020105,76.4601508524
010600020106,77.1263048201
010600020201,81.6639800503
010600020202,81.7645015591
010600020203,71.4500948616
010600020204,77.9894859641
010600020301,82.6642969984
010600020302,67.7120209341
010600020303,72.1185692706
010600020304,67.4473598391
010600020401,77.9996292797
010600020402,77.0417867829
010600020403,68.259044912
010600020404,47.2005043206
010600020405,73.4852859737
010600020406,67.7286705979
010600020501,70.6526378812
010600020502,71.0549932234
010600020503,73.0183982922
010600020504,71.3118352426
010600020601,76.6454883821
010600020602,79.0584795962
010600020603,77.255966462
010600020604,71.7946126318
010600020605,73.2017488993
010600020701,75.9194508248
010600020702,71.5767510646
010600020703,67.9381690897
010600020801,71.8958501674
010600020802,80.0741167277
010600020803,75.7242601963
010600020804,65.3210528232
010600020901,72.0742961178
010600020902,70.5141306621
010600020903,69.8033403998
010600020904,68.11750972
010600021001,64.9640002768
010600021002,70.5432016824
010600021003,70.1550196592
010600021004,67.6404822163
010600021005,65.821226928
010600021006,68.9813051146
010600021007,66.3023045953
010600021101,67.2838106879
010600021102,64.758467815
010600021103,65.4961541983
010600021104,58.8176353165
010600021105,53.2998523533
010600021106,42.9803439803
010600030101,67.6445603216
010600030102,62.0161340425
010600030103,12.0289855072
010600030104,7.10416666667
010600030201,64.4270582697
010600030202,60.0626009768
010600030203,66.4856055592
010600030204,67.7541178711
010600030205,60.1930281835
010600030206,13.6198347107
010600030207,11.7407407407
010600030301,62.7431692376
010600030302,26.9920529801
010600030303,15.6444444444
010600030401,63.5004471971
010600030402,65.7065584855
010600030501,69.267063108
010600030502,67.6329877885
010600030503,63.4690675674
010600030504,67.5775054074
010600030505,65.3401816858
010600030506,59.7592897384
010600030507,56.2037594992
010600030601,67.1395833677
010600030602,63.0626861927
010600030603,52.1966354564
010600030604,69.1815259445
010600030605,69.4952587758
010600030606,67.420831631
010600030607,65.1269643088
010600030608,47.777010884
010600030701,67.6113693934
010600030702,70.1477319083
010600030703,72.508461807
010600030704,61.9211426394
010600030705,69.1284310762
010600030706,66.6562186624
010600030707,69.9196244164
010600030708,62.5338303821
010600030709,62.6205939866
010600030801,60.5558139786
010600030802,64.072897985
010600030803,59.2512473272
010600030804,55.7868937749
010600030805,59.1208107817
010600030806,51.9071915663
010600030901,50.8402509169
010600030902,59.5865974243
010600030903,56.5970910035
010600030904,50.6145286918
010600031001,43.4809367673
010600031002,52.5257069409
010600031003,52.071728348
010600031004,10.2585278276
010600031005,37.9635455592
010600031101,64.8998377129
010600031102,63.9190497313
010600031103,62.6118549932
010600031104,60.4388154064
010600031105,18.5854014599
010600031106,9.7464664311
010700010101,83.6118661898
010700010102,84.3772141619
010700010103,83.173260957
010700010104,81.7420039151
010700010201,78.3917106225
010700010202,80.6113093742
010700010203,77.0013362434
010700010204,83.8296117006
010700010205,77.8657008927
010700010206,75.0853679124
010700010301,80.3085921743
010700010302,75.9435857964
010700010303,76.3011558888
010700010304,79.4524202096
010700010305,82.1982845518
010700010306,74.3380260171
010700010307,68.7355466737
010700010401,80.4380215242
010700010402,79.5378400696
010700010403,73.2996042357
010700010404,66.7393548806
010700010501,75.2679013537
010700010502,72.3061300794
010700010601,76.1170664441
010700010602,71.9372144896
010700010603,68.8550737618
010700010701,74.375240782
010700010702,67.8727598115
010700010801,67.1649129333
010700010802,69.7136406671
010700010803,71.5293079474
010700010804,66.5844037329
010700020101,71.3432786745
010700020102,69.4919739105
010700020103,72.64752784
010700020104,70.0426391256
010700020105,69.7133797095
010700020106,71.752564525
010700020107,64.8299307776
010700020108,69.4162452297
010700020109,56.7183293184
010700020110,53.3603483663
010700020201,63.2915809386
010700020202,59.3915574194
010700030101,64.5249323173
010700030102,71.5709915779
010700030103,74.2878537222
010700030104,71.0249969781
010700030105,69.5762589582
010700030106,70.8649918215
010700030107,71.5643893473
010700030108,68.2866161616
010700030201,77.4368596768
010700030202,72.4885028519
010700030203,73.7049128267
010700030204,73.4860210797
010700030301,67.654148784
010700030302,72.2193467509
010700030303,64.4346297702
