HUC_12,PIMPV_2021
10100020101,0.158005024
10100020102,0.11580509
10100020103,0.106419188
10100020104,0.103657109
10100020105,0.086463943
10100020201,0.196776188
10100020202,0.090395925
10100020203,0.095357768
10100020204,0.079239897
10100020301,0.083809397
10100020302,0.117881811
10100020303,0.095213755
10100020304,0.14942123
10100020305,0.1955763
10100020306,0.372977948
10100020307,0.124286229
10100020308,0.284835975
10100020401,0.083684654
10100020402,0.156331402
10100020403,0.127955145
10100020404,0.19586542
10100020405,0.068344312
10100020406,0.037533385
10100020501,0.091005546
10100020502,0.241370784
10100020503,0.136927644
10100020504,0.119144615
10100020505,0.229716249
10100020601,0.081310409
10100020602,0.189428574
10100020701,0.021989042
10100020702,0.056661203
10100020703,0.168993597
10100020704,0.075535236
10100020705,0.085220507
10100020706,0.080082377
10100020707,0.074002555
10100020708,0.168662263
10100020709,0.103972199
10100020710,0.27239601
10100020711,0.127780358
10100030101,0.183662798
10100030102,0.076950666
10100030103,0.010640402
10100030104,0.14265637
10100030105,0.128772481
10100030201,0.223249168
10100030202,0.087511535
10100030203,0.343685955
10100030204,0.150516926
10100030205,0.127209671
10100030206,0.01478692
10100030207,0.234014344
10100030301,0.537157723
10100030302,0.917047389
10100030303,0.205080749
10100030304,0.781525397
10100030305,0.576755115
10100030306,0.333212202
10100030307,0.051970497
10100030308,0.075507327
10100030309,0.053901107
10100030310,0.304822615
10100030401,0.15404499
10100030402,1.498738695
10100030403,1.70544585
10100040101,0.09446747
10100040102,0.07095029
10100040103,0.033352916
10100040104,0.124856429
10100040201,0.14576148
10100040202,0.081862983
10100040203,0.106720291
10100040301,0.117100478
10100040302,0.087949066
10100040303,0.086611793
10100040304,0.143755922
10100040305,0.179584933
10100040306,0.164829325
10100040401,0.044891358
10100040402,0.098606506
10100040501,0.074003795
10100040502,0.093178525
10100040503,0.140891599
10100040504,0.051139063
10100040505,0.074619123
10100040506,0.146667869
10100040601,0.042034702
10100040602,0.152159013
10100040603,0.099866953
10100040604,0.111693146
10100040605,0.110277989
10100040606,0.267725393
10100040701,0.141453929
10100040702,0.112460124
10100040703,0.134991383
10100040801,0.195057604
10100040802,0.084771238
10100040803,0.058940047
10100040804,0.137137246
10100040805,0.220196138
10100040901,0.198778852
10100040902,0.099113018
10100040903,0.203547424
10100040904,0.656201039
10100040905,0.056888305
10100040906,0.090364072
10100040907,0.174155191
10100040908,0.029343831
10100040909,0.14968805
10100041001,0.78022164
10100041002,0.084991294
10100041003,0.067272727
10100041004,0.038772451
10100041005,0.064721305
10100041006,0.22892792
10100041007,0.937876179
10100041008,5.068259042
10100041009,1.656703307
10100041101,1.776292873
10100041102,1.66406557
10100041103,0.420054933
10100041104,0.189014023
10100041105,0.088493859
10100041106,0.225564246
10100041107,0.246937602
10100041108,0.549531705
10100041109,4.525479176
10100041110,0.930910484
10100041111,1.073659436
10100041112,1.737752054
10100041113,2.604307133
10100050101,0.15503552
10100050102,0.490679064
10100050201,0.081340148
10100050202,0.492057718
10100050203,0.261045097
10100050301,0.063157451
10100050302,0.893649923
10100050303,0.928267702
10100050304,0.465218008
10100050305,0.684817013
10100050306,0.639769324
10100050307,3.264841506
10100050308,0.930684999
10100060101,0.016640744
10100060102,0.248615064
10100060103,0.059946461
10100060104,0.118334735
10100060105,0.041584883
10100060106,0.13666682
10100060107,0.109538179
10100060108,0.088671367
10100060109,0.090311519
10100060201,0.059342053
10100060202,0.120558561
10100060203,0.323590079
10100060204,0.132956723
10100060205,0.146582905
10100060206,0.158624314
10100060207,0.077704641
10100060208,0.171044154
10100060305,0.014602035
10100060306,0.019312214
10100060307,0
10100060312,0.113308195
10100060313,0.094665638
10100070101,0.071709628
10100070102,0.043347528
10100070103,0.048084097
10100070204,0
10100070205,0.114578121
10100070206,0.083513426
10100070207,0.02395881
10100070208,0.119181002
10100070209,0.234896895
10100070301,0.224948514
10100070302,0.007813461
10100070303,0.067793884
10100070304,0.103513662
10100070305,0.087429169
10100070306,0.039792555
10100070401,0.052786393
10100070402,0.140369106
10100070403,0.174280223
10100070404,0.187690057
10100070405,0.060181361
10100070502,0
10100070503,0.097812345
10100070504,0.279350516
10100070505,0.090410164
10100070506,0.070165233
10100070507,0.063375656
10100070601,0.0749289
10100070602,0.12960251
10100070603,0.216176394
10100070604,0.152034572
10100070605,0.122694413
10100070606,0.096154438
10100070607,0.101622172
10100070701,0.219314752
10100070702,0.073873683
10100070703,0.274155746
10100080101,0.157221087
10100080102,0.330647677
10100080401,0.311787691
10100080403,0.105372941
10100080404,0.128111693
10100080405,0.198551379
10100080406,0.124610147
10100080407,0.138089035
10100080408,0.083879582
10100080503,0.529607084
10100080504,1.59329671
10100081107,3.182244101
10100081108,4.303517404
10100090601,1.639834523
10100090603,0.334716652
10100090604,3.210411537
10100090605,0.557065484
10100090607,1.297019872
10100090608,0.735147076
10100100101,0.579083962
10100100102,0.328433431
10100100201,1.465316528
10100100202,1.050717703
10100100203,0.967226604
10100100204,0.43949336
10100100205,0.494288487
10100100206,1.51442594
10100100207,0.314090391
10100110103,0.248770136
10200010101,0.190360478
10200010102,0.03088586
10200010103,0.092292779
10200010104,0.095866746
10200010105,0.424371282
10200010106,0.129897725
10200010201,0.270443107
10200010202,0.024667509
10200010203,0.095158555
10200010204,0.209287493
10200010205,0.048194235
10200010206,0.114623194
10200010207,0.062570469
10200010208,0.026967499
10200010209,0.054182009
10200010210,0.214288434
10200010301,0.289531963
10200010302,0.171718138
10200010303,0.031456881
10200010304,0.124587271
10200010305,0.189289442
10200010306,0.251227159
10200010307,0.203955281
10200010308,0.193905474
10200010401,0.1391645
10200010402,0.098915944
10200010403,0.100908881
10200010404,0.190353309
10200010501,0.137376698
10200010502,0.231920054
10200010503,0.226290736
10200010504,0.071190024
10200010505,0.203774866
10200010506,0.145699826
10200010507,0.215517936
10200010508,0.113319202
10200010509,0.145058074
10200010601,0.152157323
10200010602,0.044723326
10200010701,0
10200010702,0.106367758
10200010703,0.030557981
10200010704,0.116026193
10200010801,0.260280234
10200010802,0.155490276
10200010803,0.135413758
10200010804,0.274013824
10200010805,0.286102186
10200010901,0.011109851
10200010902,0.104224761
10200010903,0.054498984
10200010904,0.297054754
10200010905,0.387302712
10200010906,0.081251805
10200010907,0.131130349
10200011001,0.032217104
10200011002,0.051046541
10200011003,0.095113015
10200011004,0.317962124
10200011005,4.273105869
10200011006,0.259560887
10200011007,2.187058845
10200020101,0.074357546
10200020102,0.123018177
10200020103,0.149312551
10200020104,0.091358818
10200020105,0.156752346
10200020106,0.195625316
10200020107,0.095348999
10200020108,0.0705577
10200020201,0.153799829
10200020202,0.139630102
10200020203,0
10200020204,0.015216954
10200020205,0.035566875
10200020301,0.074523097
10200020302,0.086820351
10200020303,0.052174958
10200020304,0.038443106
10200020401,0.051229124
10200020402,0.082539298
10200020403,0.210337533
10200020404,0.12712675
10200020405,0.14231078
10200020406,0.138417288
10200020407,0.195269648
10200020408,0.052351695
10200020501,0.064686957
10200020502,0.003561479
10200020503,0.166071775
10200020504,0.108349175
10200020505,0.075645885
10200020506,0.109714737
10200020507,0.331017477
10200030101,0.063440102
10200030102,0.098175305
10200030103,0.254547911
10200030104,0.147849269
10200030105,0.204244648
10200030106,0.492957956
10200030107,0.589743737
10200030108,0.185440688
10200030109,0.333413375
10200030110,0.653894696
10200030111,0.452786957
10200030112,0.048004949
10200030113,0.054993342
10200030201,0.132991356
10200030202,1.449651074
10200030203,0.278739184
10200030204,0.124761141
10200030205,0.086261068
10200030301,0.084817259
10200030302,0.066257208
10200030303,0.213724827
10200030401,0.128697959
10200030402,0.173782399
10200030403,0.155023583
10200030404,0.386024604
10200030501,0.040408003
10200030502,0.074302926
10200030503,0.283090913
10200030504,0.077792519
10200030505,0.034846532
10200030506,0.27815505
10200030507,0.059799823
10200030508,0.124047659
10200030509,0.215953982
10200030510,0.064102297
10200030511,0.114825237
10200030601,1.079795084
10200030602,0.633582782
10200030603,0.556266729
10200030604,0.131827281
10200030605,0.276712892
10200030606,0.083876739
10200030607,0.222488454
10200030701,0.821287779
10200030702,0.209413777
10200030703,0.490600262
10200030704,0.239699584
10200040101,0.132949251
10200040102,0.107095417
10200040103,0.156894321
10200040104,0.471210988
10200040105,0.230227156
10200040106,0.376915777
10200040107,0.281251153
10200040108,0.507297949
10200040109,0.129123649
10200040110,0.307430761
10200040111,0.801389456
10200040201,0.570478763
10200040202,0.752312371
10200040203,2.231682608
10200040204,0.483886923
10200040205,1.065184166
10200040301,0.125787966
10200040302,0.357494375
10200040303,0.170231221
10200040304,0.750013407
10200040305,0.269997779
10200040306,0.190827009
10200040307,0.093798877
10200040308,0.135521645
10200040309,0.061205094
10200040310,0.176186255
10200040311,0.19379305
10200040312,1.326122076
10200040401,0.046663365
10200040402,0.091261391
10200040403,0.074394193
10200040404,0.08451224
10200040405,0.14982365
10200040406,0.086971017
10200040407,0.120462687
10200040408,0.16492734
10200040409,0.131208168
10200040410,1.074937799
10200040501,0.18857863
10200040502,0.096839857
10200040503,0.063660629
10200040504,0.200635362
10200040601,0.373587005
10200040602,0.211717924
10200040603,0.193372087
10200040604,0.662644214
10200050101,0.622762754
10200050102,0.660644509
10200050103,0.078945151
10200050104,0.795843653
10200050201,0.855274907
10200050202,0.718371712
10200050203,0.22900136
10200050204,0.559527319
10200050205,1.518449789
10200050206,0.114366441
10200050207,0.493893592
10200050208,2.035421885
10200050301,0.148511753
10200050302,0.014528724
10200050303,0.027358431
10200050304,0.026083789
10200050305,0.078741561
10200050306,0.186108302
10200050307,0.165486509
10200050308,0.35949127
10200050309,0.089458031
10200050310,0.5555148
10200050311,0.23887885
10200050401,1.383794986
10200050402,0.266863959
10200050403,0.404501469
10200050404,0.647208794
10200050405,0.413493303
10200050406,0.324986533
10200050407,0.180456683
10200050408,1.108717765
10200050501,0.473752393
10200050502,1.101187147
10200050503,0.342637848
10200050504,0.396191055
10200050505,0.704097934
10200050506,0.704535637
10200050507,1.157252074
10200050508,0.208858451
10200050509,0.967280634
10200050510,7.986088404
10200050601,0.176454385
10200050602,0.761066095
10200050603,6.242827478
10200050701,0.818387986
10200050702,1.479290595
10200050703,0.707815564
10200050704,1.162879694
10200050705,1.682599663
10200050706,1.29019614
10200050707,9.4733132
10200050801,0.720547568
10200050802,1.016589862
10200050803,0.810872636
10200050804,1.705035907
10200050805,7.996217778
10200050901,0.643138254
10200050902,0.463714096
10200050903,0.723118755
10200050904,1.121759721
10200050905,0.793843614
10200050906,1.878873239
10200051001,1.714150801
10200051002,1.352698687
10200051003,17.15026618
10200051004,0.924493259
10200051005,0.643398295
10200051006,0.877214279
10200051007,2.315418131
10200051008,1.584117596
10200051009,2.006254959
10300010101,0.072255073
10300010102,0.14322391
10300010201,0.097245811
10300010202,0.078767502
10300010203,0.17493015
10300010204,0.071588304
10300010205,0.080974792
10300010206,0.293365397
10300010301,0.19269724
10300010302,0.447864197
10300010303,0.272793561
10300010304,0.393395413
10300010305,0.21799715
10300010306,0.292565854
10300010307,0.720734459
10300010308,0.41114663
10300010309,0.955698794
10300010310,0.367188179
10300010401,0.197119284
10300010402,0.264889369
10300010403,0.267233012
10300010404,0.343190635
10300010501,0.104449561
10300010502,0.219851504
10300010503,0.408862318
10300010504,0.160230201
10300010505,0.195589797
10300010506,0.249905478
10300010507,0.367025493
10300010508,0.219468381
10300010509,0.026717223
10300010510,0.457295999
10300010601,0.299872787
10300010602,0.06256752
10300010603,0.199825699
10300010604,0.299038692
10300010605,0.118069276
10300010606,0.108786712
10300010607,0.204850821
10300010608,0.229172778
10300010609,0.413429311
10300010610,0.300682192
10300020101,0.256001517
10300020102,0.220632932
10300020103,0.711186219
10300020104,0.090509118
10300020105,0.617955135
10300020106,0.349116722
10300020201,0.108079748
10300020202,0.219628096
10300020203,0.070161126
10300020204,0.134420228
10300020301,0.428383235
10300020302,0.158805348
10300020303,0.500496749
10300020304,0.146424103
10300020401,0.180458531
10300020402,0.164025173
10300020403,0.457830758
10300020404,0.304355201
10300020405,0.118949764
10300020406,0.160173117
10300020501,0.210998615
10300020502,0.142537228
10300020503,0.200721881
10300020504,0.462003902
10300020505,0.382660583
10300020506,0.363103896
10300030101,0.195593343
10300030102,0.071693333
10300030103,0.180924583
10300030104,0.127997733
10300030105,0.194529442
10300030106,0.281905938
10300030201,0.096043099
10300030202,0.169261671
10300030203,0.586917499
10300030301,1.480796586
10300030302,0.400431593
10300030303,0.275005476
10300030304,1.149068451
10300030401,0.770412068
10300030402,0.448353886
10300030501,0.016074869
10300030502,0.34711267
10300030503,0.535332115
10300030601,0.525201391
10300030602,0.68103831
10300030701,0.115031894
10300030702,0.177217738
10300030703,0.397603721
10300030801,0.242814038
10300030802,0.20741619
10300030803,0.797261291
10300030804,1.375379435
10300030901,0.076489121
10300030902,0.374142341
10300030903,0.108598187
10300030904,0.681040231
10300030905,0.653871199
10300031001,0.568691707
10300031002,0.672679112
10300031003,0.497652286
10300031004,2.233345745
10300031101,0.611435332
10300031102,0.547521034
10300031103,1.813628954
10300031201,0.360341944
10300031202,0.549052599
10300031203,0.736063677
10300031204,0.364858179
10300031205,0.464324813
10300031206,0.75449669
10300031301,3.61367713
10300031302,2.716618592
10300031401,0.368042506
10300031402,0.501462878
10300031403,1.119242693
10300031404,1.628775703
10300031405,0.993270694
10300031501,5.037150934
10300031502,0.5045007
10300031503,0.516960412
10300031504,0.557009193
10300031505,1.493776952
10300031506,0.636111588
10300031507,9.309425126
10300031601,0.397715487
10300031602,0.483742777
10300031603,0.362728107
10300031604,0.370592684
10300031605,0.479956626
10300031606,0.485770827
10300031701,1.028214902
10300031702,1.836089867
10300031801,1.76968186
10300031802,2.556014935
10300031803,1.649993956
10300031804,1.058570844
10300031805,0.41645126
10300031806,2.587955653
10300031901,0.616289413
10300031902,1.605868237
10300031903,2.764972463
10300031904,1.838956193
10300032001,0.243417145
10300032002,0.86608133
10300032003,0.837851809
10300032004,0.943402738
10300032005,0.43341464
10300032101,0.651751653
10300032102,1.94485009
10300032103,0.688325879
10300032104,1.598796503
10300032105,2.016978983
10300032106,1.922675294
10300032201,0.752934635
10300032202,1.100112697
10300032203,0.547899654
10300032204,1.381760579
10300032205,7.88879838
10300032301,1.505723474
10300032302,0.936990038
10300032303,2.327205959
10300032304,1.203541641
10300032305,1.985231218
10300032306,1.343939774
10300032307,2.239734756
10300032308,1.106501509
10300032309,3.193574225
10300032401,1.304314091
10300032402,0.906963587
10300032403,0.979235139
10300032404,4.375609458
10300032405,10.67532085
10300032406,0.824727556
10300032407,1.668489042
10300032408,0.611604947
10300032409,4.450160441
10400010101,0.203724201
10400010102,0.15038324
10400010103,0.089331759
10400010104,0.16654562
10400010105,0.445394691
10400010106,0.35304239
10400010107,1.369888385
10400010108,0.26688096
10400010109,0.555442196
10400010110,0.187542465
10400010201,0.294190758
